,brand,country,currency,customers_per_day,outlet_id,week_id,weekday,sales_per_day
43,MediaMarkt,netherlands,EURO,2152.0,694.0,32.0,fri,53312.6
44,Saturn,italy,EURO,412.0,582.0,25.0,tue,50168.48
45,Saturn,netherlands,EURO,241.0,601.0,28.0,mon,53512.84
46,Saturn,italy,EURO,0.0,582.0,21.0,sun,0.0
47,Saturn,germany,EURO,313.0,86.0,27.0,thu,58143.35
48,MediaMarkt,italy,EURO,1702.0,551.0,40.0,fri,50171.09
49,Saturn,austria,EURO,0.0,301.0,4.0,sun,0.0
50,MediaMarkt,spain,EURO,0.0,164.0,37.0,sun,0.0
51,Saturn,germany,EURO,392.0,81.0,43.0,thu,63160.54
52,MediaMarkt,spain,EURO,331.0,100.0,21.0,tue,63448.32
53,Saturn,spain,EURO,398.0,112.0,40.0,thu,59089.6
54,MediaMarkt,germany,EURO,1771.0,79.0,15.0,fri,61095.97
55,MediaMarkt,germany,EURO,345.0,14.0,46.0,tue,58423.95
56,MediaMarkt,austria,EURO,0.0,342.0,31.0,sun,0.0
57,MediaMarkt,germany,EURO,2027.0,74.0,26.0,fri,53340.68
58,MediaMarkt,germany,EURO,376.0,52.0,46.0,thu,62482.76
59,MediaMarkt,spain,EURO,1374.0,142.0,40.0,wed,67193.91
60,MediaMarkt,italy,EURO,925.0,555.0,48.0,thu,53515.63
61,Saturn,netherlands,EURO,0.0,601.0,11.0,sun,0.0
62,Saturn,italy,EURO,321.0,582.0,33.0,thu,63706.16
63,Saturn,italy,EURO,410.0,588.0,34.0,thu,51283.18
64,Saturn,spain,EURO,0.0,108.0,47.0,sun,0.0
65,MediaMarkt,austria,EURO,438.0,363.0,32.0,tue,58152.85
66,MediaMarkt,germany,EURO,1214.0,95.0,10.0,fri,58340.99
67,Saturn,spain,EURO,1676.0,187.0,23.0,fri,56928.92
68,MediaMarkt,netherlands,EURO,295.0,608.0,36.0,mon,58374.86
69,MediaMarkt,greece,EURO,337.0,234.0,34.0,mon,58503.49
70,Saturn,germany,EURO,2562.0,86.0,39.0,sat,76216.98
71,Saturn,netherlands,EURO,2122.0,698.0,24.0,fri,59112.97
72,MediaMarkt,austria,EURO,366.0,399.0,32.0,tue,55543.28
73,MediaMarkt,switzerland,CHF,2237.0,408.0,38.0,fri,64555.76
74,Saturn,germany,EURO,197.0,17.0,26.0,mon,49859.6
75,Saturn,italy,EURO,1799.0,588.0,14.0,sat,71257.03
76,MediaMarkt,austria,EURO,646.0,334.0,8.0,tue,57242.46
77,MediaMarkt,germany,EURO,1471.0,70.0,3.0,fri,48744.1
78,Saturn,netherlands,EURO,1582.0,698.0,46.0,fri,61725.63
79,MediaMarkt,spain,EURO,0.0,142.0,18.0,sun,0.0
80,Saturn,italy,EURO,1635.0,582.0,32.0,fri,70205.97
81,MediaMarkt,greece,EURO,1204.0,234.0,19.0,wed,62286.54
82,MediaMarkt,italy,EURO,1620.0,530.0,7.0,wed,61170.38
83,MediaMarkt,greece,EURO,1580.0,255.0,37.0,fri,61033.84
84,MediaMarkt,germany,EURO,366.0,70.0,7.0,mon,54461.58
85,Saturn,spain,EURO,1457.0,112.0,25.0,fri,56230.75
86,MediaMarkt,greece,EURO,348.0,255.0,18.0,tue,46993.83
87,MediaMarkt,greece,EURO,453.0,240.0,4.0,tue,51245.17
88,MediaMarkt,italy,EURO,1076.0,555.0,10.0,wed,67366.52
89,Saturn,austria,EURO,616.0,301.0,12.0,thu,56065.06
90,MediaMarkt,greece,EURO,0.0,234.0,6.0,sun,0.0
91,MediaMarkt,germany,EURO,1281.0,79.0,17.0,fri,56933.91
92,MediaMarkt,spain,EURO,271.0,100.0,18.0,mon,51270.48
93,MediaMarkt,spain,EURO,2270.0,142.0,5.0,sat,66680.88
94,Saturn,italy,EURO,2114.0,588.0,11.0,fri,57240.25
95,MediaMarkt,italy,EURO,0.0,509.0,8.0,sun,0.0
96,Saturn,greece,EURO,694.0,251.0,48.0,thu,56734.73
97,Saturn,spain,EURO,539.0,108.0,45.0,thu,57665.22
98,Saturn,greece,EURO,2233.0,298.0,36.0,fri,69226.69
99,MediaMarkt,austria,EURO,323.0,363.0,44.0,mon,52918.65
100,MediaMarkt,netherlands,EURO,1200.0,652.0,3.0,wed,66075.69
101,MediaMarkt,greece,EURO,327.0,222.0,50.0,mon,55174.16
102,MediaMarkt,austria,EURO,1871.0,342.0,27.0,fri,65016.3
103,MediaMarkt,germany,EURO,1652.0,52.0,50.0,wed,69338.93
104,MediaMarkt,germany,EURO,2021.0,56.0,16.0,sat,73085.79
105,Saturn,italy,EURO,0.0,588.0,24.0,sun,0.0
106,Saturn,germany,EURO,1319.0,51.0,16.0,wed,55501.43
107,MediaMarkt,greece,EURO,0.0,240.0,44.0,sun,0.0
108,MediaMarkt,germany,EURO,337.0,79.0,23.0,thu,58595.73
109,Saturn,netherlands,EURO,357.0,698.0,28.0,mon,52875.25
110,MediaMarkt,switzerland,CHF,0.0,408.0,4.0,sun,0.0
111,MediaMarkt,netherlands,EURO,609.0,652.0,29.0,tue,57649.48
112,MediaMarkt,germany,EURO,2962.0,56.0,50.0,sat,72747.52
113,Saturn,germany,EURO,288.0,81.0,18.0,mon,53985.35
114,Saturn,germany,EURO,417.0,81.0,46.0,thu,64176.16
115,MediaMarkt,austria,EURO,701.0,334.0,47.0,tue,55913.87
116,MediaMarkt,germany,EURO,925.0,52.0,32.0,wed,60285.73
117,MediaMarkt,germany,EURO,377.0,14.0,5.0,mon,43656.96
118,MediaMarkt,spain,EURO,384.0,164.0,10.0,thu,58874.08
119,MediaMarkt,netherlands,EURO,340.0,608.0,20.0,tue,47874.06
120,MediaMarkt,austria,EURO,1765.0,399.0,29.0,sat,71488.51
121,MediaMarkt,greece,EURO,2092.0,234.0,49.0,wed,69461.27
122,Saturn,austria,EURO,1530.0,301.0,35.0,wed,67823.74
123,MediaMarkt,greece,EURO,373.0,234.0,37.0,mon,53992.07
124,MediaMarkt,switzerland,CHF,3266.0,477.0,47.0,sat,84944.66
125,MediaMarkt,switzerland,CHF,2700.0,408.0,48.0,fri,71086.94
126,MediaMarkt,germany,EURO,2242.0,52.0,46.0,fri,59525.0
127,Saturn,greece,EURO,293.0,251.0,42.0,mon,59801.38
128,MediaMarkt,greece,EURO,2862.0,240.0,18.0,sat,74266.54
129,MediaMarkt,germany,EURO,435.0,79.0,12.0,thu,59420.29
130,MediaMarkt,austria,EURO,574.0,334.0,34.0,tue,54269.86
131,MediaMarkt,italy,EURO,0.0,598.0,40.0,sun,0.0
132,Saturn,italy,EURO,0.0,582.0,26.0,sun,0.0
133,MediaMarkt,italy,EURO,0.0,598.0,6.0,sun,0.0
134,Saturn,spain,EURO,387.0,187.0,40.0,tue,54846.24
135,MediaMarkt,austria,EURO,300.0,363.0,43.0,thu,63353.8
136,MediaMarkt,germany,EURO,1737.0,70.0,29.0,fri,55381.89
137,Saturn,greece,EURO,495.0,298.0,48.0,mon,55785.54
138,MediaMarkt,italy,EURO,400.0,598.0,11.0,thu,54650.64
139,MediaMarkt,austria,EURO,213.0,363.0,31.0,mon,56610.5
140,MediaMarkt,italy,EURO,0.0,598.0,36.0,sun,0.0
141,MediaMarkt,greece,EURO,365.0,255.0,35.0,mon,52811.83
142,MediaMarkt,netherlands,EURO,218.0,608.0,14.0,mon,50900.69
143,Saturn,austria,EURO,1555.0,333.0,29.0,fri,63732.66
144,Saturn,greece,EURO,369.0,298.0,33.0,tue,53773.46
145,MediaMarkt,switzerland,CHF,0.0,421.0,45.0,sun,0.0
146,Saturn,austria,EURO,2227.0,301.0,38.0,fri,59684.98
147,MediaMarkt,spain,EURO,514.0,106.0,12.0,tue,51018.95
148,MediaMarkt,spain,EURO,491.0,142.0,31.0,tue,46355.28
149,MediaMarkt,spain,EURO,0.0,106.0,34.0,sun,0.0
150,MediaMarkt,spain,EURO,0.0,100.0,40.0,sun,0.0
151,Saturn,austria,EURO,325.0,301.0,32.0,tue,48562.21
152,MediaMarkt,netherlands,EURO,391.0,694.0,7.0,tue,46310.33
153,Saturn,austria,EURO,779.0,301.0,28.0,wed,69522.58
154,MediaMarkt,netherlands,EURO,0.0,694.0,13.0,sun,0.0
155,MediaMarkt,germany,EURO,2023.0,99.0,41.0,fri,54009.35
156,Saturn,austria,EURO,2440.0,333.0,52.0,fri,69445.61
157,Saturn,germany,EURO,1760.0,51.0,33.0,sat,63305.7
158,MediaMarkt,switzerland,CHF,1715.0,408.0,17.0,sat,67137.58
159,MediaMarkt,austria,EURO,416.0,363.0,32.0,thu,58398.54
160,Saturn,netherlands,EURO,404.0,698.0,9.0,tue,48761.81
161,Saturn,netherlands,EURO,346.0,601.0,28.0,thu,57751.26
162,Saturn,greece,EURO,2921.0,298.0,3.0,sat,77682.09
163,MediaMarkt,austria,EURO,349.0,399.0,17.0,thu,54393.51
164,Saturn,greece,EURO,466.0,298.0,28.0,tue,50701.89
165,MediaMarkt,germany,EURO,327.0,70.0,48.0,mon,60052.95
166,MediaMarkt,netherlands,EURO,1134.0,608.0,39.0,wed,65711.78
167,MediaMarkt,greece,EURO,0.0,234.0,20.0,sun,0.0
168,Saturn,spain,EURO,565.0,112.0,30.0,thu,54405.65
169,MediaMarkt,germany,EURO,903.0,95.0,2.0,wed,56451.21
170,MediaMarkt,germany,EURO,361.0,56.0,6.0,mon,53190.85
171,Saturn,germany,EURO,1450.0,17.0,46.0,wed,56792.04
172,MediaMarkt,italy,EURO,1228.0,598.0,3.0,wed,56447.27
173,MediaMarkt,netherlands,EURO,384.0,608.0,13.0,thu,54242.99
174,Saturn,spain,EURO,431.0,112.0,29.0,tue,45420.36
175,MediaMarkt,germany,EURO,258.0,14.0,4.0,mon,50037.24
176,MediaMarkt,netherlands,EURO,1425.0,694.0,21.0,fri,50095.31
177,MediaMarkt,netherlands,EURO,531.0,694.0,35.0,thu,60555.6
178,MediaMarkt,germany,EURO,1807.0,70.0,12.0,fri,61607.07
179,MediaMarkt,netherlands,EURO,2948.0,608.0,37.0,sat,80586.36
180,MediaMarkt,spain,EURO,882.0,106.0,14.0,wed,61452.03
181,MediaMarkt,spain,EURO,2711.0,100.0,33.0,sat,70015.82
182,Saturn,germany,EURO,363.0,86.0,21.0,tue,44426.69
183,Saturn,netherlands,EURO,2093.0,601.0,14.0,sat,67433.03
184,MediaMarkt,switzerland,CHF,2111.0,408.0,26.0,fri,63308.06
185,Saturn,germany,EURO,923.0,17.0,12.0,wed,62168.96
186,Saturn,spain,EURO,1475.0,187.0,3.0,wed,66625.67
187,Saturn,germany,EURO,327.0,17.0,16.0,mon,49809.64
188,Saturn,germany,EURO,784.0,51.0,22.0,wed,64127.13
189,MediaMarkt,germany,EURO,2729.0,14.0,48.0,fri,58516.98
190,MediaMarkt,netherlands,EURO,334.0,608.0,20.0,thu,58243.71
191,MediaMarkt,greece,EURO,452.0,222.0,26.0,tue,50766.18
192,MediaMarkt,spain,EURO,2371.0,142.0,26.0,sat,70524.54
193,MediaMarkt,greece,EURO,374.0,222.0,44.0,mon,50291.69
194,MediaMarkt,austria,EURO,400.0,339.0,3.0,tue,46405.45
195,MediaMarkt,spain,EURO,435.0,142.0,44.0,thu,59920.61
196,MediaMarkt,switzerland,CHF,0.0,408.0,44.0,sun,0.0
197,Saturn,netherlands,EURO,1260.0,698.0,5.0,fri,54654.34
198,MediaMarkt,germany,EURO,1041.0,95.0,13.0,wed,60841.3
199,MediaMarkt,italy,EURO,1391.0,598.0,29.0,wed,60192.83
200,MediaMarkt,spain,EURO,0.0,106.0,51.0,sun,0.0
201,Saturn,germany,EURO,2417.0,81.0,28.0,fri,61340.98
202,Saturn,netherlands,EURO,1374.0,698.0,13.0,wed,66144.39
203,Saturn,netherlands,EURO,722.0,601.0,52.0,tue,55197.94
204,MediaMarkt,austria,EURO,625.0,399.0,51.0,tue,54164.63
205,MediaMarkt,netherlands,EURO,515.0,608.0,40.0,thu,48367.15
206,MediaMarkt,spain,EURO,2808.0,100.0,21.0,sat,77005.5
207,MediaMarkt,greece,EURO,325.0,222.0,27.0,tue,49189.83
208,MediaMarkt,greece,EURO,889.0,255.0,32.0,wed,55365.68
209,MediaMarkt,italy,EURO,1518.0,509.0,31.0,wed,57205.85
210,Saturn,greece,EURO,2722.0,251.0,26.0,sat,72222.62
211,MediaMarkt,greece,EURO,0.0,255.0,6.0,sun,0.0
212,MediaMarkt,switzerland,CHF,346.0,408.0,50.0,mon,53949.32
213,MediaMarkt,italy,EURO,478.0,551.0,25.0,tue,56123.43
214,MediaMarkt,greece,EURO,588.0,240.0,27.0,thu,60757.3
215,MediaMarkt,austria,EURO,2607.0,399.0,49.0,wed,73115.29
216,Saturn,italy,EURO,686.0,582.0,48.0,tue,62819.92
217,MediaMarkt,spain,EURO,353.0,106.0,46.0,thu,59544.25
218,MediaMarkt,netherlands,EURO,468.0,645.0,52.0,thu,57064.43
219,MediaMarkt,switzerland,CHF,2443.0,421.0,48.0,wed,73472.26
220,MediaMarkt,germany,EURO,2650.0,70.0,48.0,fri,60735.35
221,MediaMarkt,germany,EURO,410.0,52.0,18.0,tue,41915.47
222,MediaMarkt,austria,EURO,-999999.0,342.0,19.0,sat,66916.21
223,Saturn,greece,EURO,0.0,298.0,16.0,sun,0.0
224,Saturn,greece,EURO,3299.0,298.0,52.0,fri,77891.86
225,MediaMarkt,netherlands,EURO,279.0,694.0,23.0,tue,53443.71
226,MediaMarkt,netherlands,EURO,2217.0,694.0,29.0,fri,61533.48
227,Saturn,germany,EURO,1232.0,51.0,34.0,wed,60944.24
228,MediaMarkt,greece,EURO,435.0,240.0,10.0,thu,51968.48
229,Saturn,netherlands,EURO,0.0,698.0,21.0,sun,0.0
230,MediaMarkt,germany,EURO,2209.0,52.0,15.0,fri,51855.57
231,Saturn,austria,EURO,1782.0,301.0,14.0,fri,58276.35
232,Saturn,greece,EURO,0.0,298.0,45.0,sun,0.0
233,MediaMarkt,italy,EURO,262.0,551.0,25.0,mon,50032.14
234,MediaMarkt,switzerland,CHF,1548.0,408.0,19.0,fri,59703.13
235,MediaMarkt,italy,EURO,379.0,598.0,39.0,tue,54117.53
236,MediaMarkt,netherlands,EURO,0.0,608.0,43.0,sun,0.0
237,Saturn,germany,EURO,492.0,51.0,9.0,tue,52131.59
238,MediaMarkt,switzerland,CHF,414.0,408.0,19.0,mon,57069.06
239,MediaMarkt,germany,EURO,2247.0,79.0,24.0,fri,59676.5
240,Saturn,italy,EURO,2937.0,588.0,25.0,sat,81553.49
241,Saturn,netherlands,EURO,1678.0,698.0,9.0,fri,57172.27
242,MediaMarkt,germany,EURO,1899.0,79.0,49.0,fri,63782.6
243,MediaMarkt,greece,EURO,410.0,234.0,26.0,thu,62557.87
244,Saturn,spain,EURO,1679.0,112.0,40.0,sat,68571.19
245,MediaMarkt,switzerland,CHF,1925.0,477.0,15.0,sat,71629.21
246,MediaMarkt,germany,EURO,0.0,70.0,43.0,sun,0.0
247,MediaMarkt,switzerland,CHF,392.0,421.0,28.0,tue,51258.5
248,Saturn,germany,EURO,340.0,81.0,18.0,tue,49847.11
249,MediaMarkt,austria,EURO,507.0,342.0,49.0,tue,54686.69
250,MediaMarkt,austria,EURO,0.0,363.0,36.0,sun,0.0
251,Saturn,italy,EURO,1015.0,588.0,2.0,wed,62368.29
252,MediaMarkt,switzerland,CHF,2046.0,408.0,40.0,sat,82932.53
253,MediaMarkt,greece,EURO,254.0,255.0,42.0,mon,61976.53
254,Saturn,spain,EURO,410.0,112.0,17.0,tue,56846.76
255,Saturn,germany,EURO,1309.0,86.0,22.0,wed,65032.74
256,MediaMarkt,netherlands,EURO,0.0,694.0,5.0,sun,0.0
257,MediaMarkt,germany,EURO,1757.0,52.0,37.0,fri,54905.53
258,MediaMarkt,spain,EURO,997.0,106.0,20.0,wed,63490.38
259,MediaMarkt,germany,EURO,1034.0,59.0,7.0,wed,62396.91
260,MediaMarkt,switzerland,CHF,1493.0,421.0,19.0,wed,64440.13
261,MediaMarkt,germany,EURO,0.0,99.0,43.0,sun,0.0
262,MediaMarkt,italy,EURO,1504.0,509.0,27.0,wed,66079.76
263,MediaMarkt,greece,EURO,308.0,255.0,12.0,thu,54322.51
264,MediaMarkt,spain,EURO,2678.0,142.0,30.0,sat,70640.76
265,MediaMarkt,germany,EURO,1534.0,52.0,17.0,wed,60588.37
266,Saturn,netherlands,EURO,540.0,601.0,12.0,thu,54843.66
267,MediaMarkt,spain,EURO,263.0,142.0,15.0,mon,51952.93
268,Saturn,austria,EURO,1449.0,301.0,26.0,sat,57731.71
269,Saturn,spain,EURO,0.0,112.0,27.0,sun,0.0
270,MediaMarkt,italy,EURO,218.0,598.0,46.0,mon,63616.74
271,MediaMarkt,germany,EURO,1057.0,97.0,39.0,wed,59688.94
272,MediaMarkt,greece,EURO,1839.0,240.0,14.0,sat,68641.13
273,MediaMarkt,germany,EURO,378.0,97.0,14.0,mon,51634.72
274,Saturn,italy,EURO,511.0,588.0,44.0,tue,55113.7
275,MediaMarkt,greece,EURO,286.0,234.0,40.0,mon,55528.92
276,Saturn,spain,EURO,582.0,108.0,37.0,thu,60128.85
277,Saturn,austria,EURO,1922.0,333.0,44.0,sat,76156.17
278,MediaMarkt,germany,EURO,464.0,95.0,16.0,thu,61598.13
279,MediaMarkt,italy,EURO,0.0,509.0,27.0,sun,0.0
280,MediaMarkt,netherlands,EURO,343.0,694.0,48.0,mon,58127.49
281,MediaMarkt,austria,EURO,1556.0,342.0,24.0,sat,70946.51
282,MediaMarkt,greece,EURO,1405.0,222.0,33.0,wed,62487.36
283,MediaMarkt,germany,EURO,867.0,52.0,22.0,wed,61418.82
284,MediaMarkt,germany,EURO,1193.0,56.0,46.0,wed,60762.14
285,MediaMarkt,greece,EURO,431.0,240.0,49.0,mon,54939.25
286,MediaMarkt,germany,EURO,327.0,95.0,41.0,thu,62703.8
287,MediaMarkt,spain,EURO,297.0,100.0,4.0,mon,53319.74
288,Saturn,spain,EURO,519.0,112.0,5.0,thu,54877.3
289,MediaMarkt,netherlands,EURO,450.0,608.0,10.0,thu,52803.08
290,MediaMarkt,italy,EURO,1478.0,509.0,30.0,fri,51409.28
291,MediaMarkt,switzerland,CHF,2491.0,408.0,34.0,sat,72262.5
292,MediaMarkt,italy,EURO,342.0,598.0,45.0,tue,42639.78
293,MediaMarkt,greece,EURO,406.0,255.0,8.0,tue,52736.02
294,MediaMarkt,germany,EURO,438.0,97.0,4.0,tue,45915.91
295,MediaMarkt,germany,EURO,1218.0,14.0,21.0,wed,59488.88
296,Saturn,netherlands,EURO,323.0,601.0,38.0,tue,56675.67
297,MediaMarkt,austria,EURO,406.0,399.0,11.0,tue,48264.59
298,MediaMarkt,austria,EURO,638.0,342.0,31.0,thu,64024.09
299,MediaMarkt,greece,EURO,1536.0,240.0,11.0,fri,54614.44
300,MediaMarkt,germany,EURO,400.0,97.0,40.0,tue,55628.95
301,Saturn,spain,EURO,1232.0,112.0,37.0,fri,56192.82
302,MediaMarkt,greece,EURO,1346.0,255.0,24.0,fri,53768.94
303,MediaMarkt,netherlands,EURO,1527.0,608.0,6.0,wed,54341.99
304,MediaMarkt,switzerland,CHF,2061.0,408.0,4.0,sat,66063.15
305,MediaMarkt,netherlands,EURO,2206.0,645.0,9.0,sat,72392.19
306,MediaMarkt,germany,EURO,1076.0,99.0,4.0,wed,48123.67
307,MediaMarkt,italy,EURO,2602.0,555.0,12.0,sat,71627.17
308,MediaMarkt,germany,EURO,360.0,95.0,43.0,tue,50974.95
309,MediaMarkt,germany,EURO,460.0,74.0,45.0,tue,53784.33
310,MediaMarkt,germany,EURO,0.0,99.0,16.0,sun,0.0
311,MediaMarkt,switzerland,CHF,1585.0,421.0,30.0,sat,71240.42
312,Saturn,austria,EURO,425.0,333.0,42.0,thu,64976.15
313,MediaMarkt,italy,EURO,510.0,530.0,2.0,tue,50615.01
314,MediaMarkt,spain,EURO,0.0,100.0,29.0,sun,0.0
315,Saturn,greece,EURO,374.0,251.0,42.0,tue,58482.95
316,Saturn,germany,EURO,819.0,86.0,2.0,wed,58140.07
317,Saturn,greece,EURO,573.0,298.0,23.0,thu,59191.83
318,Saturn,greece,EURO,453.0,251.0,8.0,thu,56434.84
319,Saturn,greece,EURO,0.0,251.0,14.0,sun,0.0
320,Saturn,germany,EURO,1729.0,81.0,29.0,sat,67026.08
321,Saturn,italy,EURO,1430.0,588.0,44.0,fri,64188.16
322,Saturn,austria,EURO,1598.0,333.0,40.0,sat,69363.12
323,MediaMarkt,greece,EURO,1093.0,234.0,2.0,wed,60197.44
324,MediaMarkt,greece,EURO,0.0,255.0,13.0,sun,0.0
325,MediaMarkt,greece,EURO,313.0,240.0,41.0,tue,46377.65
326,MediaMarkt,germany,EURO,1760.0,99.0,17.0,fri,60541.41
327,Saturn,germany,EURO,2686.0,51.0,42.0,sat,71550.5
328,MediaMarkt,austria,EURO,0.0,342.0,43.0,sun,0.0
329,MediaMarkt,italy,EURO,2194.0,530.0,17.0,sat,71894.57
330,MediaMarkt,switzerland,CHF,2346.0,477.0,29.0,fri,56132.07
331,MediaMarkt,germany,EURO,487.0,70.0,12.0,tue,59926.8
332,Saturn,spain,EURO,0.0,108.0,29.0,sun,0.0
333,Saturn,spain,EURO,1387.0,187.0,10.0,wed,59695.26
334,MediaMarkt,germany,EURO,545.0,52.0,11.0,thu,53498.92
335,Saturn,netherlands,EURO,1381.0,601.0,46.0,wed,68604.33
336,Saturn,germany,EURO,1968.0,51.0,8.0,fri,55167.65
337,Saturn,germany,EURO,239.0,51.0,22.0,mon,57410.57
338,Saturn,germany,EURO,2041.0,51.0,19.0,fri,49893.81
339,Saturn,greece,EURO,2873.0,251.0,18.0,sat,71028.46
340,MediaMarkt,austria,EURO,314.0,339.0,34.0,thu,63954.52
341,Saturn,germany,EURO,1270.0,81.0,9.0,wed,61535.08
342,Saturn,germany,EURO,1045.0,51.0,12.0,wed,54971.63
343,MediaMarkt,germany,EURO,215.0,74.0,10.0,mon,50152.66
344,MediaMarkt,germany,EURO,251.0,95.0,34.0,mon,55271.95
345,MediaMarkt,germany,EURO,357.0,99.0,33.0,tue,48900.84
346,MediaMarkt,austria,EURO,1832.0,334.0,11.0,fri,55099.21
347,MediaMarkt,austria,EURO,202.0,339.0,46.0,mon,54385.89
348,MediaMarkt,greece,EURO,380.0,240.0,32.0,tue,49381.77
349,MediaMarkt,greece,EURO,933.0,240.0,9.0,wed,51667.34
350,Saturn,spain,EURO,357.0,187.0,17.0,mon,56826.37
351,MediaMarkt,switzerland,CHF,1993.0,408.0,42.0,sat,72974.85
352,Saturn,netherlands,EURO,331.0,601.0,19.0,mon,52531.79
353,MediaMarkt,netherlands,EURO,218.0,645.0,41.0,mon,50574.7
354,MediaMarkt,germany,EURO,424.0,97.0,37.0,tue,50922.05
355,MediaMarkt,germany,EURO,406.0,95.0,18.0,tue,48340.82
356,Saturn,germany,EURO,3136.0,81.0,32.0,sat,80396.77
357,MediaMarkt,greece,EURO,0.0,240.0,14.0,sun,0.0
358,Saturn,spain,EURO,0.0,108.0,33.0,sun,0.0
359,MediaMarkt,switzerland,CHF,227.0,421.0,46.0,mon,55462.83
360,MediaMarkt,greece,EURO,2283.0,240.0,3.0,fri,59671.1
361,Saturn,spain,EURO,0.0,108.0,43.0,sun,0.0
362,Saturn,germany,EURO,1145.0,17.0,35.0,wed,58099.33
363,MediaMarkt,spain,EURO,0.0,164.0,2.0,sun,0.0
364,Saturn,spain,EURO,3087.0,108.0,51.0,sat,77794.42
365,MediaMarkt,germany,EURO,577.0,70.0,34.0,thu,54140.08
366,MediaMarkt,germany,EURO,1455.0,99.0,13.0,fri,56276.17
367,Saturn,spain,EURO,1676.0,112.0,42.0,sat,70512.15
368,MediaMarkt,greece,EURO,2043.0,222.0,29.0,sat,72011.48
369,MediaMarkt,germany,EURO,0.0,99.0,38.0,sun,0.0
370,Saturn,spain,EURO,2852.0,108.0,26.0,sat,69101.96
371,MediaMarkt,germany,EURO,358.0,56.0,47.0,mon,44788.93
372,MediaMarkt,germany,EURO,1474.0,70.0,28.0,wed,56938.77
373,MediaMarkt,greece,EURO,1874.0,240.0,27.0,sat,75099.31
374,Saturn,germany,EURO,1387.0,81.0,17.0,sat,68339.97
375,MediaMarkt,spain,EURO,1914.0,142.0,43.0,sat,69477.05
376,MediaMarkt,netherlands,EURO,1144.0,694.0,40.0,fri,53285.72
377,MediaMarkt,netherlands,EURO,315.0,608.0,8.0,mon,54269.85
378,MediaMarkt,greece,EURO,1406.0,255.0,28.0,wed,59653.26
